V (V),net022 vs net9 (V)
0.000,184.0E-3
10.00E-3,178.3E-3
20.00E-3,172.6E-3
30.00E-3,167.1E-3
40.00E-3,161.7E-3
50.00E-3,156.4E-3
60.00E-3,151.2E-3
70.00E-3,146.1E-3
80.00E-3,141.1E-3
90.00E-3,136.2E-3
100.0E-3,131.4E-3
110.0E-3,126.6E-3
120.0E-3,121.9E-3
130.0E-3,117.4E-3
140.0E-3,112.9E-3
150.0E-3,108.4E-3
160.0E-3,104.1E-3
170.0E-3,99.81E-3
180.0E-3,95.62E-3
190.0E-3,91.49E-3
200.0E-3,87.44E-3
210.0E-3,83.47E-3
220.0E-3,79.56E-3
230.0E-3,75.73E-3
240.0E-3,71.97E-3
250.0E-3,68.28E-3
260.0E-3,64.67E-3
270.0E-3,61.13E-3
280.0E-3,57.66E-3
290.0E-3,54.27E-3
300.0E-3,50.96E-3
310.0E-3,47.72E-3
320.0E-3,44.57E-3
330.0E-3,41.50E-3
340.0E-3,38.51E-3
350.0E-3,35.61E-3
360.0E-3,32.80E-3
370.0E-3,30.09E-3
380.0E-3,27.48E-3
390.0E-3,24.98E-3
400.0E-3,22.59E-3
410.0E-3,20.31E-3
420.0E-3,18.16E-3
430.0E-3,16.13E-3
440.0E-3,14.24E-3
450.0E-3,12.49E-3
460.0E-3,10.88E-3
470.0E-3,9.403E-3
480.0E-3,8.071E-3
490.0E-3,6.877E-3
500.0E-3,5.817E-3
510.0E-3,4.885E-3
520.0E-3,4.073E-3
530.0E-3,3.373E-3
540.0E-3,2.774E-3
550.0E-3,2.267E-3
560.0E-3,1.840E-3
570.0E-3,1.485E-3
580.0E-3,1.190E-3
590.0E-3,948.5E-6
600.0E-3,751.1E-6
610.0E-3,591.0E-6
620.0E-3,462.0E-6
630.0E-3,358.8E-6
640.0E-3,276.8E-6
650.0E-3,212.0E-6
660.0E-3,161.3E-6
670.0E-3,121.8E-6
680.0E-3,91.38E-6
690.0E-3,68.09E-6
700.0E-3,50.40E-6
710.0E-3,37.07E-6
720.0E-3,27.11E-6
730.0E-3,19.72E-6
740.0E-3,14.28E-6
750.0E-3,10.29E-6
760.0E-3,7.389E-6
770.0E-3,5.289E-6
780.0E-3,3.777E-6
790.0E-3,2.693E-6
800.0E-3,1.919E-6
810.0E-3,1.368E-6
820.0E-3,977.2E-9
830.0E-3,700.7E-9
840.0E-3,505.5E-9
850.0E-3,368.0E-9
860.0E-3,271.4E-9
870.0E-3,203.6E-9
880.0E-3,156.2E-9
890.0E-3,123.0E-9
900.0E-3,99.94E-9
910.0E-3,83.92E-9
920.0E-3,72.85E-9
930.0E-3,65.25E-9
940.0E-3,60.09E-9
950.0E-3,56.65E-9
960.0E-3,54.42E-9
970.0E-3,53.04E-9
980.0E-3,52.26E-9
990.0E-3,51.91E-9
1.000,51.84E-9
990.0E-3,51.91E-9
980.0E-3,52.26E-9
970.0E-3,53.04E-9
960.0E-3,54.42E-9
950.0E-3,56.65E-9
940.0E-3,60.09E-9
930.0E-3,65.25E-9
920.0E-3,72.85E-9
910.0E-3,83.92E-9
900.0E-3,99.94E-9
890.0E-3,123.0E-9
880.0E-3,156.2E-9
870.0E-3,203.6E-9
860.0E-3,271.4E-9
850.0E-3,368.0E-9
840.0E-3,505.5E-9
830.0E-3,700.7E-9
820.0E-3,977.2E-9
810.0E-3,1.368E-6
800.0E-3,1.919E-6
790.0E-3,2.693E-6
780.0E-3,3.777E-6
770.0E-3,5.289E-6
760.0E-3,7.389E-6
750.0E-3,10.29E-6
740.0E-3,14.28E-6
730.0E-3,19.72E-6
720.0E-3,27.11E-6
710.0E-3,37.07E-6
700.0E-3,50.40E-6
690.0E-3,68.09E-6
680.0E-3,91.38E-6
670.0E-3,121.8E-6
660.0E-3,161.3E-6
650.0E-3,212.0E-6
640.0E-3,276.8E-6
630.0E-3,358.8E-6
620.0E-3,462.0E-6
610.0E-3,591.0E-6
600.0E-3,751.1E-6
590.0E-3,948.5E-6
580.0E-3,1.190E-3
570.0E-3,1.485E-3
560.0E-3,1.840E-3
550.0E-3,2.267E-3
540.0E-3,2.774E-3
530.0E-3,3.373E-3
520.0E-3,4.073E-3
510.0E-3,4.885E-3
500.0E-3,5.817E-3
490.0E-3,6.877E-3
480.0E-3,8.071E-3
470.0E-3,9.403E-3
460.0E-3,10.88E-3
450.0E-3,12.49E-3
440.0E-3,14.24E-3
430.0E-3,16.13E-3
420.0E-3,18.16E-3
410.0E-3,20.31E-3
400.0E-3,22.59E-3
390.0E-3,24.98E-3
380.0E-3,27.48E-3
370.0E-3,30.09E-3
360.0E-3,32.80E-3
350.0E-3,35.61E-3
340.0E-3,38.51E-3
330.0E-3,41.50E-3
320.0E-3,44.57E-3
310.0E-3,47.72E-3
300.0E-3,50.96E-3
290.0E-3,54.27E-3
280.0E-3,57.66E-3
270.0E-3,61.13E-3
260.0E-3,64.67E-3
250.0E-3,68.28E-3
240.0E-3,71.97E-3
230.0E-3,75.73E-3
220.0E-3,79.56E-3
210.0E-3,83.47E-3
200.0E-3,87.44E-3
190.0E-3,91.49E-3
180.0E-3,95.62E-3
170.0E-3,99.81E-3
160.0E-3,104.1E-3
150.0E-3,108.4E-3
140.0E-3,112.9E-3
130.0E-3,117.4E-3
120.0E-3,121.9E-3
110.0E-3,126.6E-3
100.0E-3,131.4E-3
90.00E-3,136.2E-3
80.00E-3,141.1E-3
70.00E-3,146.1E-3
60.00E-3,151.2E-3
50.00E-3,156.4E-3
40.00E-3,161.7E-3
30.00E-3,167.1E-3
20.00E-3,172.6E-3
10.00E-3,178.3E-3
0.000,184.0E-3
